대분류,카테고리,서브카테고리,툴 이름,킬러 기능,특징,비용,가입 방식,무료 한도,한국어 지원,URL
디자인 & UI/UX,지능형 웹 & 앱 빌더,,10Web AI,URL 입력만으로 WordPress 사이트 자동 복제 및 호스팅,기존 사이트 URL만 넣으면 워드프레스용으로 구조와 디자인 복제. 구글 클라우드 호스팅 포함. SEO/성능 자동 최적화.,,구글/이메일,무료 체험,기본 지원,https://10web.io
디자인 & UI/UX,지능형 웹 & 앱 빌더,,Banani,아이디어를 가장 빠르게 시각적 화면으로 전환하는 초고속 UI 생성기,아이디어를 시각적 화면으로 전환하는 속도가 가장 빠름. 2026년 신흥 강자.,,이메일 / Google,무료 티어 제공,프롬프트 입력 지원,https://banani.co
디자인 & UI/UX,지능형 웹 & 앱 빌더,,Bolt.new,브라우저에서 프롬프트만으로 풀스택 웹앱을 즉시 빌드·배포,코딩 친화적 워크플로우. 프롬프트만으로 대시보드 및 복잡한 웹 앱 빌드 가능.,,StackBlitz 계정,무료 티어 제공,한국어 프롬프트 지원,https://bolt.new
디자인 & UI/UX,하이엔드 UI/UX 설계 및 시스템,,Creatie AI,수천 개 빌트인 템플릿과 아이콘을 AI가 프로젝트에 맞춰 자동 추천,프로젝트 성격에 맞춰 수천 개의 빌트인 템플릿과 아이콘 라이브러리를 AI가 추천.,,이메일 / Google,무료 플랜 제공,프롬프트 입력 지원,https://creatie.ai
디자인 & UI/UX,인터랙티브 & 공간 경험,,Dora AI,텍스트 명령으로 3D 오브젝트를 생성·배치하는 노코드 3D 웹 빌더,텍스트로 3D 오브젝트를 생성하고 배치하여 인터랙티브한 3D 경험 제공.,,이메일 가입,무료 플랜,한국어 지원,https://www.dora.run
디자인 & UI/UX,하이엔드 UI/UX 설계 및 시스템,,Figma AI (Figma Make),피그마 내에서 텍스트/이미지로 오토 레이아웃 프레임을 즉시 생성,피그마 내부에서 직접 작동.,2026년 3월부터 AI 크레딧 정책 강화,구글/이메일,"월 1,000 operations",UI 영어,https://www.figma.com
디자인 & UI/UX,하이엔드 UI/UX 설계 및 시스템,,Figr.design,기존 컴포넌트를 AI가 학습해 브랜드 가이드에 맞는 화면을 무한 생성,기존 컴포넌트를 AI가 학습하여 브랜드 가이드에 맞는 새 화면 무한 생성.,,이메일 / Google,무료 크레딧 제공,프롬프트 입력 지원,https://figr.design
디자인 & UI/UX,지능형 웹 & 앱 빌더,,Framer AI,마우스·스크롤 반응 인터랙션을 코드 없이 생성하는 프로 디자이너 필수 툴,마우스 휠이나 클릭에 반응하는 정교한 인터랙션을 디자인 없이 생성. 프로 디자이너 선호. CMS 및 반응형 레이아웃 강점.,,구글/이메일,무료 플랜,한국어 프롬프트,https://www.framer.com
디자인 & UI/UX,하이엔드 UI/UX 설계 및 시스템,,Google Stitch (Gemini 3 기반),"구글 Gemini 기반, 자연어로 UI 생성 후 Figma 내보내기까지 원스톱",구글 랩스의 최신 툴. 화면을 연결해 즉시 워킹 프로토타입 생성 및 Figma 내보내기 가능.,월 350회 무료,구글 계정 자동 연동,Gemini 2.5 Pro 하루 5회,완벽 지원,https://stitch.withgoogle.com
디자인 & UI/UX,특수 스캐닝 및 전환 유틸리티,,Khroma,사용자의 취향을 학습해 브랜드에 맞는 컬러 조합을 무한 제안,사용자의 취향을 학습한 AI가 브랜드에 맞는 컬러 팔레트 제안.,,이메일 (브라우저 저장),완전 무료,언어 무관 (색상 툴),https://www.khroma.co
